product,hash / s,watt,price
Antminer S9-Hydro,18000000000000.00,1728.00,636.00
Antminer T9,12500000000000.00,1576.00,430.00
Antminer T9,11500000000000.00,1450.00,438.00
Antminer T9+,10000000000000.00,1406.00,151.00
Antminer S9i,14000000000000.00,1314.00,307.00
Antminer T15,23000000000000.00,1541.00,913.00
Antminer S9j,14000000000000.00,1314.00,294.00
Antminer S15,28000000000000.00,1596.00,1475.00
Antminer S7,4730000000000.00,1293.00,99.99
Antminer S7-LN,2700000000000.00,697.00,479.00
AntMiner S3,478000000000.00,336.00,140.00
Antminer S5,1150000000000.00,590.00,399.00
Antminer S11,20500000000000.00,1530.00,545.00
Antminer V9,4000000000000.00,1027.00,159.99
AvalonMiner 741,7300000000000.00,1150.00,199.99
AvalonMiner 821,11500000000000.00,1200.00,179.00
AvalonMiner 841,13600000000000.00,1290.00,249.00
AvalonMiner 851,15000000000000.00,1450.00,380.00
AvalonMiner 921,20000000000000.00,1800.00,742.00
Ebit E11++,44000000000000.00,1980.00,2024.00
Ebit E11+ 37T,37000000000000.00,2035.00,1517.00
Ebit E11,30000000000000.00,1950.00,1110.00
Ebit E10,18000000000000.00,1650.00,2799.99
E9i,13500000000000.00,1420.00,745.00
E9.3,13000000000000.00,1760.00,950.00
E9.2,12000000000000.00,1320.00,750.00
E9+,9000000000000.00,1300.00,1600.00
8 Nano,44000000000000.00,2100.00,1790.00
8 Nano Pro,76000000000000.00,4000.00,47500.00
T3 43T,43000000000000.00,2100.00,2279.00
T2T-25T,25000000000000.00,2050.00,1150.00
T2T-32T,32000000000000.00,2200.00,1568.00
T2T-24T,24000000000000.00,1980.00,1350.00
T2 Terminator,17200000000000.00,1570.00,1118.00
Whatsminer M10,33000000000000.00,2145.00,1448.00
Whatsminer M10S,55000000000000.00,3500.00,2558.00
Whatsminer M3X,12500000000000.00,2050.00,105.00
Whatsminer M3,12000000000000.00,2000.00,80.00
H22,22000000000000.00,1600.00,1720.00
H28,28000000000000.00,1700.00,1720.00
16Th/s Bitcoin,16000000000000.00,1400.00,800.00
Snow Panther A1,49000000000000.00,5400.00,295.00
Snow Panther B1+,24500000000000.00,2100.00,580.00
B2,24000000000000.00,1950.00,1999.00
B3,33000000000000.00,3474.00,1999.00
DragonMint T1,16000000000000.00,1480.00,1499.00
