product,hash / s,watt,price
Antminer DR5,35000000000000,1610.00,1282.00
Antminer DR3,7800000000000,1410.00,345.00
Whatsminer D1,48000000000000,2200.00,2500.00
Whatsminer DCR,44000000000000,2200.00,2100.00
STU-U1+,12800000000000,1850.00,1579.00
STU-U1,11000000000000,1600.00,1389.00
D9+ DecredMaster,2800000000000,1230.00,1499.00
D9 DecredMaster,2400000000000,1000.00,900.00
BK-B,160000000000,410.00,399.00
BK-D,280000000000,1100.00,999.00
DSM7T,7000000000000,2100.00,3399.00
DSM6T,6000000000000,2100.00,3299.00
DS19,3100000000000,980.00,1180.00
Decred D18,340000000000,180.00,84.00
DragonMint B29,2400000000000,900.00,3200.00
DCR1,1200000000000,500.00,645.80
