product,hash / s,watt,price
A10 EthMaster,485000000.00,850.00,5399.00
A10 EthMaster,432000000.00,740.00,4799.00
A10 EthMaster,365000000.00,650.00,4099.00
GeForce RTX 2080Ti,52500000.00,220.00,"$1,499.00"
GeForce RTX 2080,38000000.00,190.00,$749.99
GeForce RTX 2070,38500000.00,140.00,$529.99
GeForce GTX TITAN V,82000000.00,250.00,"$3,399.00"
GeForce GTX TITAN X,40000000.00,250.00,"$1,699.00"
GeForce GTX 1080Ti,37000000.00,250.00,$747.12
GeForce GTX 1080,27000000.00,180.00,$574.99
GeForce GTX 1070Ti,32000000.00,150.00,$519.00
GeForce GTX 1070,32000000.00,150.00,$349.99
GeForce GTX 1060,24000000.00,120.00,$279.99
GeForce GTX 1050Ti,13900000.00,75.00,$170.00
RX 570,27900000.00,120.00,208.99
RX 480,29500000.00,135.00,214.60
RX 470,26000000.00,120.00,199.99
R9 390X,35000000.00,250.00,273.00
R9 390,33000000.00,210.00,277.00
R9 380X,25000000.00,150.00,208.99
R9 380,24000000.00,150.00,89.95
R9 290,20200000.00,135.00,189.00
R9 280X,20000000.00,200.00,159.99
R9 280,11000000.00,220.00,231.00
R9 270X,16000000.00,190.00,140.00
R9 270,14400000.00,160.00,147.00
B3 Pro,23000000.00,1250.00,1750.00
B3 Pro (8G),23000000.00,1250.00,1850.00
B3 Mute,23000000.00,1150.00,1850.00
Antminer G2,220000000.00,1200.00,3799.00
Antminer G1,200000000.00,1000.00,2000.00
Antminer E3,190000000.00,760.00,654.24
