product,hash / s,watt,price
B3 Pro (4G),5520,980.00,1750.00
B3 Pro (RX570 8G) / Mute,5520,980.00,1850.00
Shark Extreme 2 (8 x AMD RX 580),6680,1100.00,4590.00
Shark Extreme 2 (8 x AMD Vega 56),14800,1700.00,6879.00
Shark Extreme 2 (8 x NVIDIA GTX 1070),5040,1400.00,6480.00
Shark Extreme 2 (8 x NVIDIA GTX 1070 Ti 8 GB),5040,1400.00,6679.00
Shark Extreme 2 (8 x NVIDIA GTX 1080 Ti),6640,1500.00,9779.00
Shark Extreme 2 (6 x AMD RX 580),5160,825.00,3790.00
Shark Extreme 2 (6 x AMD Vega 56),11000,1275.00,5829.00
Shark Extreme 2 (6 x NVIDIA GTX 1070 Ti 8 GB),3600,1050.00,5380.00
Shark Extreme 2 (6 x NVIDIA GTX 1080 Ti),4980,1125.00,8029.00
Shark Extreme 2 (4 x AMD RX 580),3440,550.00,2590.00
Shark Extreme 2 (4 x NVIDIA GTX 1070 Ti 8 GB),2400,700.00,3580.00
Shark Extreme 2 (4 x NVIDIA GTX 1080 Ti),3320,750.00,4979.00
Zodiac 6-1060 GPU,2520,750.00,3222.89
Zodiac 6-1080 GPU,3000,1345.00,6359.84
Thorium 6570 GPU,2520,750.00,3974.92
Thorium 6580 GPU,3900,700.00,4297.21
GeForce RTX 2080Ti,1200,210.00,1499.00
GeForce RTX 2080,890,160.00,749.99
GeForce GTX 2070,880,140.00,747.12
GeForce GTX 1080Ti,900,180.00,747.12
GeForce GTX 1080,610,120.00,574.99
GeForce GTX 1070Ti,740,130.00,519.00
GeForce GTX 1070,720,120.00,349.99
GeForce GTX 1060,520,80.00,279.99
GeForce GTX 1050Ti,637,70.00,170.00
GeForce GTX 1050,318,75.00,129.99
GeForce GTX 770,187,230.00,271.00
GeForce GTX 760,400,170.00,157.00
GeForce GTX 750Ti,236,60.00,199.99
GeForce GTX 660,175,140.00,141.00
GeForce GTX 570,198,219.00,146.52
GeForce GTX 580,270,244.00,113.00
Tesla C2075,240,247.00,449.95
Tesla K10 8GB,202,175.00,525.00
Quadro K620,120,60.00,164.50
Quadro K2200,201,60.00,343.99
Quadro P4000,575,105.00,818.00
RX Vega 64,2040,140.00,429.00
RX Vega 56,2034,140.00,399.99
RX 580,1050,110.00,219.99
RX 570,900,90.00,208.99
RX 560,461.8,80.00,169.99
RX 480,830,130.00,214.60
RX 470,660,120.00,199.99
R9 380,530,120.00,89.95
R9 290,711,200.00,189.00
R9 280X,500,200.00,159.99
R9 270X,362,80.00,140.00
R7 370,328.6,110.00,173.00
Ryzen 5 2600,627.3,65.00,154.99
i7 7700,305,140.00,309.99
i7 6850K,345,140.00,674.90
i7 4790,290,84.00,399.95
i7 3770,287,43.00,459.99
i7 2600K,267.9,95.00,497.31
i5 7600K,263,91.00,272.87
i5 3450,195,77.00,240.95
Xeon X5660,235,95.00,81.99
