Product,Thash / s,J / Thash,Watt,Price
Antminer S9-Hydro,18.00,96.00,"1,728.00","636.00"
Antminer T9,12.50,126.00,"1,576.00","430.00"
Antminer T9,11.50,126.00,"1,450.00","438.00"
Antminer T9+,10.00,141.00,"1,406.00","151.00"
Antminer S9i,14.00,93.88,"1,314.00","307.00"
Antminer T15,23.00,67.00,"1,541.00","913.00"
Antminer S9j,14.00,99.88,"1,314.00","294.00"
Antminer S15,28.00,57.00,"1,596.00","1,475.00"
Antminer S7,4.73,273.00,"1,293.00","99.99"
Antminer S7-LN,2.70,258.00,697.00,"479.00"
AntMiner S3,0.48,"1,000.00",336.00,"140.00"
Antminer S5,1.15,511.00,590.00,"399.00"
Antminer S11,20.50,75.00,"1,530.00","545.00"
Antminer V9,4.00,257.00,"1,027.00","159.99"
